,Book Name,Author,Rating,Number of Reviews,Price,Rank,Genre,Listening Time (minutes),cleaned_description,cluster
75,The Alchemist (Hindi Edition),Paulo Coelho,4.4,796.0,668.0,135,Personal Development,396.0,एक आम कई और बदल इस पर न हम सब बदल,2
76,The Girl on the Train,Paula Hawkins,4.0,70122.0,888.0,98,"Crime, Thriller & Mystery (Books)",657.0,rachel catch commuter train every morning she know wait signal time overlooking row back garden she even started feel like know people live one house jess jason call their life see perfect if rachel could happy,2
77,Wings of Fire,APJ Abdul Kalam,4.6,70.0,75.0,80,Biographies & Autobiographies (Books),75.0,we born divine fire u our effort give wing fire president kalam inspiring autobiography touched heart people world the book talk humble beginning small village tamil nadu ascent one powerful position country,2
78,"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Tim Ferriss,4.4,3692.0,1506.0,102,Personal Success,1361.0,the latest groundbreaking tome tim ferriss new york time author the workweek,2
79,A Brief History of Time: From Big Bang to Black Holes,Stephen Hawking,4.6,5391.0,888.0,87,Astronomy (Audible Audiobooks & Originals),417.0,brought penguin,1
80,Sapiens,Yuval Noah Harari,4.6,20163.0,1171.0,4,Anthropology (Books),918.0,fire gave u power farming made u hungry money gave u purpose science made u deadly,2
81,Sapiens,Yuval Noah Harari,4.6,329.0,1171.0,72,Anthropology (Books),1302.0,new york time best seller,2
82,Everything is Figureoutable: How One Simple Belief Can Help Us Overcome Any Obstacle and Create Unstoppable Success,Marie Forleo,4.8,1877.0,888.0,82,Personal Success,474.0,brought penguin,1
83,Sochiye Aur Ameer Baniye [Think and Be Rich],Napoleon Hill,4.5,2.0,836.0,74,Personal Development & Self-Help,670.0,this hindi translation famous classic think grow rich napoleon hill book defines process listener achieve economic success success aspect life he asserts mind thought shape action lead success failure venture author reveals secret reader book give real shape dream aspiration right thought right action right inspiration get copy audiobook embark enriching experience inspire motivate work hard achieve goal,2
84,"Loaded: Money, Psychology, and How to Get Ahead Without Leaving Your Values Behind",Sarah Newcomb,4.5,63.0,586.0,56,Society,414.0,your most valuable asset is you loaded will teach you how to make the most of it,2
85,1984,George Orwell,4.5,17140.0,797.0,130,Literary Fiction,739.0,george orwell nightmare vision dystopian world become apt modern chaotic time casting pall oppressive dread first sentence classic audiobook take hold imagination stay long last four word uttered,2
86,Good Economics for Hard Times: Better Answers to Our Biggest Problems,Abhijit Banerjee,4.5,957.0,1093.0,77,Economic Conditions (Books),884.0,brought penguin,1
87,Poirot's Finest Cases: Eight Full-Cast BBC Radio Dramatisations,Agatha Christie,4.8,27.0,1093.0,-1,",            5 star,          ,            ,              81%,            ,",937.0,john moffatt star belgian detective hercule poirot,2
88,The Girl in Room 105,Chetan Bhagat,4.3,6643.0,568.0,79,Crime Thrillers,503.0,hi i keshav life screwed i hate job girlfriend left,2
89,"Talk English: The Secret To Speak English Like A Native In 6 Months For Busy People, Learn Spoken English From The Success",Ken Xiao,4.0,621.0,233.0,151,Language Learning & Teaching,77.0,you studied english year yet still speak english well you tried many method still make grammar mistake still ca speak english fluently still ca pronounce english word correctly you read english feel nervous shy speak english,2
90,Eat That Frog!,Brian Tracy,4.5,2094.0,351.0,57,Business Motivation & Self-Improvement,157.0,there enough time everything list never successful people try everything they learn focus important task make sure get done they eat frog there old saying first thing morning eat live frog satisfaction knowing done worst thing day for tracy eating frog metaphor tackling challenging task also one greatest positive impact life eat that frog show organize day zero critical task accomplish efficiently effectively,2
91,Zen: The Art of Simple Living,Shunmyo Masuno,4.7,256.0,752.0,114,Stress Management,157.0,penguin present audiobook edition zen shunmyo masuno,3
92,Anxious People,Fredrik Backman,4.6,22.0,888.0,100,Humour (Books),592.0,brought penguin,1
93,Outliers: The Story of Success,Malcolm Gladwell,4.3,4459.0,500.0,112,Business Motivation & Self-Improvement,438.0,in stunning new book malcolm gladwell take u intellectual journey world outlier best brightest famous successful he asks question make high achiever different his answer pay much attention successful people like little attention culture family generation idiosyncratic experience upbringing along way explains secret software billionaire take great soccer player asian good math made beatles greatest rock band,2
94,Market Wizards: Interviews with Top Traders,Jack D. Schwager,4.6,612.0,836.0,83,Personal Finance,881.0,important update this audio new recording dj holte replaced original inferior recording also contains text added revised edition market wizard,2
95,365 Panchatantra Stories,Adil Mukesh,4.2,424.0,668.0,88,Children's Traditional Stories (Books),449.0,the story panchatantra ancient indian fable written sanskrit pali language the central character fascinating fable many time animal bird they show identifying characteristic various story impart valuable life lesson moral,2
96,Astrophysics for People in a Hurry,Neil deGrasse Tyson,4.6,7315.0,585.0,203,Astronomy (Books),221.0,what nature space time how fit within universe how universe fit within u there better guide question acclaimed astrophysicist author neil degrasse tyson,2
97,365 Tales of Indian Mythology,Om Books International,4.4,238.0,836.0,81,Children's Traditional Stories (Books),601.0,one treat day a series treat story fact question answer science experiment young listener,2
98,"Romancing the Balance Sheet: For Anyone Who Owns, Runs or Manages a Business",Anil Lamba,4.6,460.0,668.0,95,Education (Books),327.0,there thing person it error think finance management limited finance department alone in fact happening right organization every action take impact bottom line company listen book understand profit really mean inventory sale impact learn read balance sheet deploy fund intelligently make efficient use working capital discover simple secret marginal costing leverage fund flow written simple conversational style romancing balance sheet teach intelligent way good financial management,2
99,Yuval Noah Harari: Audible Sessions: FREE Exclusive Interview,Robin Morgan,4.7,18.0,0.0,9,Biographies of Authors,19.0,professor yuval noah harari lecturer department history hebrew university jerusalem gaining phd oxford university published several book article his recent work comprise international bestseller sapiens a brief history humankind recently homo deus a brief history tomorrow,2
100,The Dhandho Investor: The Low-Risk Value Method to High Returns,Mohnish Pabrai,4.3,829.0,469.0,104,Personal Development & Self-Help,304.0,a comprehensive framework individual investor,2
101,The Design of Everyday Things: Revised and Expanded Edition,Don Norman,4.3,1394.0,500.0,94,Interior Design,639.0,design complicated guide design show usability important aesthetic,2
102,The Story of My Experiments with Truth: An Autobiography,M. K. Gandhi,4.5,409.0,1093.0,154,Asian History (Books),1227.0,to mark anniversary gandhi birth dk present audiobook the story my experiment truth an autobiography narrated sagar arya,2
103,Who Will Cry When You Die? (Hindi): Life Lessons from the Monk Who Sold His Ferrari,Robin Sharma,4.4,217.0,668.0,133,Personal Development & Self-Help,309.0,when born cried world rejoiced live life way die world cry rejoice ancient sanskrit saying,2
104,Hooked: How to Build Habit-Forming Products,Nir Eyal,4.6,1760.0,501.0,99,Design & Fashion (Books),280.0,note audible listener a december version hooked audiobook revised rerecorded greatly improve audio quality please disregard review mentioning poor audio quality prior december,2
105,Azadi: Freedom. Fascism. Fiction.,Arundhati Roy,3.0,50.0,888.0,73,Political Structure & Processes,374.0,brought penguin,1
106,The Law of Success,Napoleon Hill,4.4,855.0,32.0,220,Business & Economics,1436.0,the law success precursor napoleon hill think grow rich hill well known researching made millionaire different common man the sixteen lesson book perfectly crystallize everything need know succeed hard economic time many today best known self help book take core concept form book the secret power positive thinking millionaire next door the law attraction take basic premise landmark work now get source,2
107,48 Laws of Power,Robert Greene,4.4,2121.0,820.0,140,Political Theory,1386.0,amoral cunning ruthless instructive piercing work distills year history power law this bold volume outline law power unvarnished essence synthesizing philosophy machiavelli sun tzu carl von clausewitz infamous strategist the law power fascinate listener interested gaining observing defending ultimate control,2
108,Alibaba: The House That Jack Ma Built,Duncan Clark,4.3,593.0,13345.0,131,Internet & Social Media (Books),549.0,an engrossing insider account teacher built one world valuable company rivaling walmart amazon forever reshaped global economy,2
109,The Compound Effect: Multiply Your Success One Simple Step at a Time,Darren Hardy,4.7,3974.0,608.0,93,Business Management,284.0,the compound effect contains essence every super achiever need know practice master obtain extraordinary success inside hear strategy,2
110,Asura: Tale of the Vanquished: The Story of Ravana and His People,Anand Neelakantan,4.2,1039.0,1003.0,157,Hinduism (Books),1097.0,the epic tale victory defeat,2
111,Do Kadam Aur Sahi [Two Steps and Right],Rahat Indori,4.6,99.0,501.0,122,Poetry (Books),214.0,do kadam aur sahi excellent compilation selected poem renowned urdu poet rahat indoori the compiler sachin chaudhary named collection selected pearl ocean the magic flow pen rahat indauri give different feeling,2
112,The Forty Rules of Love,Elif Shafak,4.6,2361.0,752.0,226,World Literature (Audible Audiobooks & Originals),715.0,penguin present audiobook edition the forty rule love elif shafak read george blagden,3
113,Good to Great: Why Some Companies Make the Leap...And Others Don't,Jim Collins,4.6,2425.0,15817.0,63,Textbooks & Study Guides,601.0,built last defining management study showed great company triumph time sustained performance engineered dna enterprise beginning,2
114,Satya Ke Sath Mere Prayog [My Experiment with Truth]: Meri Atmakatha [My Autobiography],M. K. Gandhi,4.2,154.0,1171.0,296,Biographies & Autobiographies (Books),1374.0,what i want achieve i striving pining achieve year see god face face attain moksha,2
115,Peppa Pig: Bedtime Stories,Ladybird,4.7,64.0,342.0,156,Early Learning Audiobooks for Children,67.0,brought ladybird,1
116,A Clash of Kings: Book 2 of A Song of Ice and Fire,George R. R. Martin,4.6,6923.0,18149.0,187,Epic Fantasy,2232.0,the complete unabridged audiobook a clash king,2
117,The Mahabharata Secret,Christopher C. Doyle,4.0,986.0,836.0,184,Fantasy (Books),617.0,bc,2
118,"Girl, Woman, Other",Bernardine Evaristo,4.5,2091.0,888.0,139,Women's Fiction,667.0,brought penguin,1
119,Measure What Matters: OKRs: The Simple Idea That Drives 10x Growth,John Doerr,4.5,1348.0,888.0,97,Time Management & Productivity,476.0,brought penguin,1
120,Essentialism: The Disciplined Pursuit of Less,Greg McKeown,4.6,2997.0,888.0,119,Analysis & Strategy,374.0,brought penguin,1
121,How to Stop Worrying and Start Living,Dale Carnegie,4.5,5038.0,668.0,126,Personal Development & Self-Help,582.0,learn break worry habit forever,2
122,Maybe You Should Talk to Someone,Lori Gottlieb,4.7,3557.0,1328.0,89,Humour (Books),862.0,ever wonder therapist really thinking now find hilarious surprising new book take u behind scene therapist world,2
123,Flow: Living at the Peak of Your Abilities,Mihaly Csikszentmihalyi Ph.D.,4.5,268.5,1439.0,180,Personal Development & Self-Help,331.0,in flow everyday experience becomes moment moment opportunity joy flow fascinating psychologist mihaly csikszentmihalyi renowned social scientist devoted life work study make people truly happy satisfied fulfilled while much study psychology investigates disorder human mind csikszentmihalyi take different route he focus noble side human nature capacity living life integrity courage perseverance with landmark research flow reveals considers beautiful life way behaving make people happy satisfied delighted alive his insight flow experience show way lessen stress fear anxiety increasing feeling challenge joy excitement the revolutionary finding mihaly csikszentmihalyi experience sampling method offer unprecedented information specific way turn life continuous high quality experience you discover anyone enrich quality life simply learning flow occurs feel like you learn key element flow experience including,2
124,Fire and Blood: 300 Years Before A Game of Thrones (A Targaryen History) (A Song of Ice and Fire),George R.R. Martin,4.4,3764.0,18149.0,193,Military Fantasy,1584.0,set year a game throne even greater game began one set sky alight dragon flame saw seven kingdom turned ash,2
125,"The 5 Second Rule: Transform your Life, Work, and Confidence with Everyday Courage",Mel Robbins,4.4,2325.0,668.0,-1,,486.5,how enrich life destroy doubt five second,2
126,What Every BODY Is Saying: An Ex-FBI Agent’s Guide to Speed-Reading People,Joe Navarro,4.5,3401.0,10378.0,165,Business Careers,439.0,he say best offer is,2
127,The Fountainhead,Ayn Rand,4.2,818.0,1054.0,103,Contemporary Fiction (Books),1922.0,by completing purchase agree audible condition use amazon privacy notice applicable audible recurring payment term,1
128,Indistractable: How to Control Your Attention and Choose Your Life,Nir Eyal,4.6,673.0,1003.0,169,Business & Economics,315.0,indistractable provides framework deliver focus need get result james clear author atomic habit,2
129,No-Drama Discipline: The Whole-Brain Way to Calm the Chaos and Nurture Your Child's Developing Mind,Daniel J. Siegel,4.7,1789.0,879.0,-1,,486.5,sorry need make sure robot for best result please make sure browser accepting cooky,0
130,"Untamed: Stop Pleasing, Start Living",Glennon Doyle,4.7,5360.0,888.0,143,Biographies & Autobiographies (Books),502.0,brought penguin,1
131,When Breath Becomes Air,Paul Kalanithi,4.6,11526.0,615.0,123,Cancer,335.0,tackling agonizing transition skilled surgeon bewildered patient when breath becomes air unflinching account mean betrayed body devoted life understanding,2
