Book Name,Author,Description,Rating,Number of Reviews,Price,Rank,Genre,Listening Time (minutes)
The 5AM Club: Own Your Morning. Elevate Your Life.,Robin Sharma,"Legendary leadership and elite performance expert Robin Sharma introduced The 5AM Club concept over 20 years ago, based on a revolutionary morning routine that has helped his clients maximise their productivity, activate their best health and bulletproof their serenity in this age of overwhelming complexity.",4.4,5116.0,8735.0,8,Healthy Living & Wellness,664.0
Dream With Your Eyes Open: An Entrepreneurial Journey,Ronnie Screwvala,"UTV founder and pioneer of the media industry Ronnie Screwvala is one of India’s most successful first-generation entrepreneurs. An avid philanthropist, he has penned Dream with Your Eyes Open: An Entrepreneurial Journey as one of the most inspiring entrepreneurial self-help books. Pictured relaxed and content on the cover page of the book, Screwvala provides a relentless pursuit of entrepreneurial glory and describes how others can learn from the same.  ",3.6,43.0,0.0,2,Business Management,439.0
Influence: The Psychology of Persuasion,Robert B. Cialdini,"Influence, the classic book on persuasion, explains the psychology of why people say yes - and how to apply these understandings. ",4.4,3795.0,12356.0,11,Earth Sciences Books,606.0
The Sandman,Neil Gaiman,"Please note: This content is not for kids. It is for mature audiences only. Just like the original graphic novels, this audio adaptation contains explicit language and graphic violence, as well as strong sexual content and themes. Discretion is advised. ",5.0,1.0,1171.0,16,Fantasy (Books),654.0
The Alchemist: A Fable About Following Your Dream,Paulo Coelho,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",4.6,28237.0,10378.0,10,"Crime, Thriller & Mystery (Books)",240.0
How to Win Friends and Influence People,Dale Carnegie,"How to Win Friends and Influence People is a self-help book which is the pioneer of this genre. Written by Dale Carnegie and published in 1936, it has sold over 30 million copies. It has been edited and re-printed several times. ",4.5,21000.0,668.0,18,Personal Development & Self-Help,485.0
"Thinking, Fast and Slow",Daniel Kahneman,Brought to you by Penguin.,4.4,9865.0,1093.0,13,Personal Success,1201.0
Sherlock Holmes: The Definitive Collection,Arthur Conan Doyle,"Now updated to include Chapter Name Information, so you can easily find your favourite story or novel",5.0,6.0,3037.0,15,"Crime, Thriller & Mystery (Books)",4317.0
Becoming,Michelle Obama,Penguin presents the audiobook edition of Becoming by Michelle Obama.,4.6,13941.0,1093.0,12,Biographies & Autobiographies (Books),1143.0
Just Do It: The Nike Spirit in the Corporate World,Donald Katz,"The protagonist of Just Do It is Phil Knight, a reclusive billionaire who started a two-man operation importing Japanese running shoes and built it into a $4 billion company. Irreverent, unpredictable, and leery of the sports establishment, Knight created the most muscular jock culture in business, a place where employees routinely took two hours at lunch to work out and then strategized late into the night in their holy war against competitors Reebok and Adidas. To outsiders, Nike was a cult. Insiders believed they were furthering the company's mission: to improve the performance of serious athletes. ",4.0,38.0,0.0,3,Biographies of Actors,840.0
The Warren Buffett Way: 3rd Edition,Robert Hagstrom,"Warren Buffett remains one of the most sought-after and watched figures in business today. He has become a billionaire and investment sage by buying chunks of companies and holding onto them, managing them as businesses, and eventually reaping huge profits for himself and investors in Berkshire Hathaway. The first two editions of The Warren Buffett Way gave investors their first in-depth look at the innovative investment and business strategies behind the spectacular success of living legend Warren E. Buffett. Tracing Warren Buffett's career from the beginning, Hagstrom told listeners exactly how, starting with an initial investment of only $100 Buffett built a business empire and has an estimated net worth of $44 billion. The Third Edition of The Warren Buffett Way will focus on the timeless principles and strategies behind Buffett's extraordinary investment success. There will be new chapters on the important distinctions between investment and trading and an examination of the most successful disciples of Warren Buffett. Some less important material will be deleted and the overall focus will be to create an edition that will stand the test of time, distilling Buffett's success formula in a way that will provide value to listeners for decades to come.",4.2,72.0,1005.0,17,Personal Finance,631.0
21 Lessons for the 21st Century,Yuval Noah Harari,Brought to you by Penguin.,4.4,2836.0,1093.0,14,Political Theory,701.0
Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,T. Harv Eker,Secrets of the Millionaire Mind reveals the missing link between wanting success and achieving it! ,4.6,952.0,10378.0,21,Investing & Trading,310.0
"Let's Talk Money: You've Worked Hard for It, Now Make It Work for You",Monika Halan,"We work hard to earn our money. But regardless of how much we earn, the money worry never goes away. Bills, rent, EMIs, medical costs, vacations, kids' education and, somewhere at the back of the head, the niggling thought about being under-prepared for our own retirement. ",4.4,419.0,668.0,19,Personal Development & Self-Help,356.0
Elon Musk,Ashlee Vance,Brought to you by Penguin.,4.5,6491.0,888.0,23,Biographies of Business Leaders,803.0
The Monk Who Sold His Ferrari,Robin Sharma,"Author Robin Sharma reads this international best-seller, allowing you to gain the wisdom and lessons from the original book while you commute. This abridged audiobook is one of Sharma Leadership International's all-time best-selling audio products.",4.6,7585.0,351.0,22,Spirituality (Books),160.0
The Power of Your Subconscious Mind,Joseph Murphy,"""The Power of Your Subconscious Mind"" will open a world of success, happiness, prosperity, and peace for you. It is one of the most brilliant and beloved spiritual self-help works of all time which can help you heal yourself, banish your fears, sleep better, enjoy better relationships and just feel happier. The techniques are simple and results come quickly. You can improve your relationships, your finances, your physical well-being.",4.5,18381.0,99.0,30,"Mind, Body & Spirit",433.0
Raavan: Enemy of Aryavarta,Amish Tripathi,"Without the darkness, light has no purpose. ",4.5,4483.0,836.0,39,Fantasy (Books),692.0
"The Power of Habit: Why We Do What We Do, and How to Change",Charles Duhigg,Brought to you by Penguin.,4.5,6733.0,888.0,24,Personal Success,653.0
Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,"For David Goggins, childhood was a nightmare - poverty, prejudice, and physical abuse colored his days and haunted his nights. But through self-discipline, mental toughness, and hard work, Goggins transformed himself from a depressed, overweight young man with no future into a US Armed Forces icon and one of the world's top endurance athletes. The only man in history to complete elite training as a Navy SEAL, Army Ranger, and Air Force Tactical Air Controller, he went on to set records in numerous endurance events, inspiring Outside magazine to name him The Fittest (Real) Man in America. ",4.8,11336.0,836.0,35,Biographies & Autobiographies (Books),817.0
Zero to One,Peter Thiel,"What valuable company is nobody building? The next Bill Gates will not build an operating system. The next Larry Page or Sergey Brin won't make a search engine. If you are copying these guys, you aren't learning from them. It's easier to copy a model than to make something new: doing what we already know how to do takes the world from 1 to 10, adding more of something familiar. ",4.4,5331.0,615.0,25,Organisational Behaviour,290.0
My Gita,Devdutt Pattanaik,"In My Gita, acclaimed mythologist Devdutt Pattanaik demystifies The Bhagavad Gita for the contemporary reader. His unique approach - thematic rather than verse by verse - makes the ancient treatise eminently accessible. ",4.2,1244.0,501.0,26,Theology & Philosophy of Religion,375.0
"Harry Potter and the Philosopher's Stone, Book 1",J.K. Rowling,"""Turning the envelope over, his hand trembling, Harry saw a purple wax seal bearing a coat of arms; a lion, an eagle, a badger and a snake surrounding a large letter 'H'."" ",4.7,11978.0,999.0,29,Fiction on Friendship for Children,573.0
Never Split the Difference: Negotiating as if Your Life Depended on It,Chris Voss,Brought to you by Penguin.,4.7,6521.0,888.0,37,Forecasting & Strategic Planning,487.0
Chanakya Neeti,Acharya Chanakya,"Chanakya was an Indian teacher, philosopher, and royal advisor. He managed the first Maurya emperor Chandragupta’s rise to power at a young age. He is widely credited for having played an important role in the establishment of the Maurya Empire, which was the first empire in archaeologically recorded history to rule most of the Indian subcontinent.",4.4,92.0,668.0,28,Biographies & Autobiographies (Books),302.0
The Rudest Book Ever: Insanely Practical Ideas to Free Your Mind from All Bulls--t,Shwetabh Gangwar,"Shwetabh Gangwar is a professional problem-solver - and he’s ace at it. For the past five years, people from all over the world have contacted him with their troubles, and he’s worked these out for them.",4.5,2079.0,501.0,44,Personal Development & Self-Help,291.0
Start with Why: How Great Leaders Inspire Everyone to Take Action (Int'l Edit.),Simon Sinek,"Why are some people and organizations more innovative, more influential, and more profitable than others? Why do some command greater loyalty from customers and employees alike? Even among the successful, why are so few able to repeat their successes over and over? ",4.5,3858.0,820.0,53,Entrepreneurship (Audible Audiobooks & Originals),432.0
The Tatas: How a Family Built a Business and a Nation,Girish Kuber,Winner of the Gaja Capital Business Book Prize 2019,4.4,53.0,668.0,34,Biographies & Autobiographies (Books),581.0
Hyperfocus,Chris Bailey,"Our attention has never been as overwhelmed or in demand as it is today; we've never been so busy while accomplishing so little, and we've grown uncomfortable with boredom and a lack of stimulation and distraction.",4.5,157.0,323.0,31,Time Management & Productivity,399.0
"Limitless: Upgrade Your Brain, Learn Anything Faster, and Unlock Your Exceptional Life",Jim Kwik,An instant New York Times best seller and number one Wall Street Journal best seller,4.7,2434.0,750.0,36,Personal Success,777.0
Meri Gita,Devdutt Pattanaik,"In Meri Gita, acclaimed mythologist Devdutt Pattanaik demystifies The Bhagavad Gita for the contemporary listener. His unique approach - thematic rather than verse-by-verse - makes the ancient treatise eminently accessible.In a world that seems spellbound by argument over dialogue, vi-vaad over sam-vaad, Devdutt highlights how Krishna nudges Arjuna to understand rather than judge his relationships. This becomes relevant today when we are increasingly indulging and isolating the self (self-improvement, self-actualization, self-realization - even selfies!) We forget that we live in an ecosystem of others, where we can nourish each other with food, love and meaning, even when we fight. ",4.2,129.0,668.0,40,Christianity (Books),459.0
The Unusual Billionaires,Saurabh Mukherjea,What makes a company truly outstanding?,4.4,288.0,1005.0,20,Essays (Books),552.0
To Kill a Mockingbird,Harper Lee,Brought to you by Penguin. ,4.5,20053.0,888.0,-1,,486.5
A Space of Her Own: Personal Narratives of Twelve Women,Leela Gulati,"Focusing on relationships between women of different generations in India, this book is comprised of narratives demonstrating how each contributor established her own personhood through engagement with a wider kin group.",3.4,9.0,0.0,4,Sociology (Audible Audiobooks & Originals),671.0
The Tales of Beedle the Bard,J.K. Rowling,"Written by J.K. Rowling. Read by Sally Mortemore, Warwick Davis, Evanna Lynch, Jason Isaacs, Bonnie Wright, Noma Dumezweni and Jude Law.",4.6,3712.0,652.0,55,Fairy Tale Collections & Anthologies for Children,95.0
No Rules Rules: Netflix and the Culture of Reinvention,Reed Hastings,"Hard work is irrelevant. Be radically honest. Adequate performance gets a generous severance. And never, ever try to please your boss. These are some of the ground rules if you work at Netflix. They are part of a unique cultural experiment that explains how the company has transformed itself at lightning speed from a DVD mail-order service into a streaming superpower - with 125 million fervent subscribers and a market capitalisation bigger than Disney.",4.1,12.0,888.0,27,Analysis & Strategy,582.0
Think and Grow Rich,Napoleon Hill,"
By completing your purchase you agree to Audible’s  Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.
",4.5,22448.0,166.0,38,Economics Books,615.0
Think and Grow Rich,Napoleon Hill,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",4.5,22330.0,836.0,-1,,486.5
Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,Brought to you by Penguin.,4.5,5339.0,1093.0,47,History (Audible Audiobooks & Originals),893.0
Inglorious Empire: What the British Did to India,Shashi Tharoor,"Penguin presents the audiobook edition of Inglorious Empire, written and read by Shashi Tharoor. ",4.5,304.0,752.0,33,Colonialism & Post-Colonialism,633.0
Hitchhiker's Guide to the Galaxy,Douglas Adams,"A much loved science-fiction classic, this entertaining intergalactic adventure has a lot going for it - including narration by British comedian Stephen Fry. Adams displays his talents for a creating a whole new world in this first of five audiobooks in the Hitchhiker's Guide to the Galaxy series. Packed with brilliant humour, extraordinary characters and a highly original storyline, it's no wonder that this novel is a favourite of so many. ",4.5,2473.0,323.0,-1,,486.5
Talking to Strangers: What We Should Know About the People We Don’t Know,Malcolm Gladwell,Brought to you by Penguin.,4.5,4327.0,1093.0,29,Personal Development & Self-Help,522.0
"Men Are from Mars, Women Are from Venus: The Classic Guide to Understanding the Opposite Sex",John Gray,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",4.5,3970.0,13345.0,-1,,486.5
Autobiography of a Yogi,Paramahansa Yogananda," This audio edition, featuring Academy Award winner Ben Kingsley's masterful narration, contains the complete text of Paramahansa Yogananda's life story, an absorbing account of a singular search for Truth. Yogananda describes his experiences with modern-day saints and illuminated masters of India, and presents a definitive introduction to the whole science and philosophy of Yoga.",4.6,2244.0,1126.0,-1,,486.5
Hit Refresh,Satya Nadella,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",4.4,841.0,13442.0,-1,,486.5
FREE: Professional Integrity (A Riyria Chronicles Tale),Michael J. Sullivan,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",4.5,268.5,0.0,-1,,486.5
A Gentleman in Moscow,Amor Towles,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",4.6,16358.0,873.0,-1,,486.5
A Game of Thrones: Book 1 of A Song of Ice and Fire,George R. R. Martin,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",4.7,13129.0,18149.0,-1,,486.5
The 10X Rule: The Only Difference Between Success and Failure,Grant Cardone,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",4.6,2729.0,703.0,-1,,486.5
The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,Ben Horowitz,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",4.6,1886.0,11862.0,-1,,486.5
The Bhagavad Gita,Eknath Easwaran,"The Bhagavad Gita, ""The Song of the Lord"", is the best known of all the Indian scriptures, and Easwaran's reliable and accessible version has consistently been the best-selling translation. Easwaran's introduction places the Gita in its historical setting and brings out the universality and timelessness of its teachings. Chapter introductions give clear explanations of key concepts in that chapter. To listen to the scripture without the introductions, listeners should start at track 044. The Bhagavad Gita opens dramatically on a battlefield, as the warrior Arjuna turns in anguish to his spiritual guide, Sri Krishna, for answers to the fundamental questions of life. But as Easwaran points out, the Gita is not what it seems - it's not a dialogue between two mythical figures at the dawn of Indian history. ""The battlefield is a perfect backdrop, but the Gita's subject is the war within, the struggle for self-mastery that every human being must wage"" to live a life that is meaningful, fulfilling, and worthwhile. This audio recording is a complete and unabridged reading of Eknath Easwaran's book The Bhagavad Gita. ",4.7,2021.0,280.0,-1,,486.5
Mythos,Stephen Fry,"Step into another world - of magic, mayhem, monsters and maniacal gods - in Stephen Fry’s momentous Sunday Times best-seller Mythos, brought to you by Penguin.",4.6,2614.0,1093.0,-1,,486.5
Take Control of Your Life: How to Silence Fear and Win the Mental Game,Mel Robbins,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",3.9,10.0,1003.0,-1,,486.5
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,"""'You are sharing the Dark Lord's thoughts and emotions. The Headmaster thinks it inadvisable for this to continue. He wishes me to teach you how to close your mind to the Dark Lord.'"" ",4.7,5583.0,1599.0,75,Fiction on Orphans & Foster Homes for Children,1818.0
"Harry Potter and the Half-Blood Prince, Book 6",J.K. Rowling,"""There it was, hanging in the sky above the school: the blazing green skull with a serpent tongue, the mark Death Eaters left behind whenever they had entered a building...wherever they had murdered...."" ",4.7,7113.0,1599.0,78,Fiction on Orphans & Foster Homes for Children,1287.0
A Suitable Boy (Dramatised),Vikram Seth,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",4.4,554.0,888.0,-1,,486.5
Apke Avchetan Man Ki Shakti [The Power of Your Subconscious Mind],Dr. Joseph Murphy,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",4.5,2296.0,668.0,-1,,486.5
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,"""'There will be three tasks, spaced throughout the school year, and they will test the champions in many different ways...their magical prowess - their daring - their powers of deduction - and, of course, their ability to cope with danger.'"" ",4.7,5485.0,1599.0,46,Fiction on Orphans & Foster Homes for Children,1337.0
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,"Most startups fail. But many of those failures are preventable. The Lean Startup is a new approach being adopted across the globe, changing the way companies are built and new products are launched.",4.4,3377.0,1005.0,116,Business Management,518.0
"Trading in the Zone: Master the Market with Confidence, Discipline, and a Winning Attitude",Mark Douglas,"

Oops!
It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time.

Go to the Amazon.in home page to continue shopping

",4.7,1048.0,879.0,-1,,486.5
Learn English: Word Power 101: Absolute Beginner English #1,Innovative Language Learning,Master English with Learn English - Word Power 101. This audiobook is a completely new way to learn English vocabulary fast - and for free! Start speaking English in minutes with the powerful learning methods you will master in this book. ,3.6,231.0,0.0,8,English Language Learning,37.0
Range: How Generalists Triumph in a Specialized World,David Epstein,"Range is the groundbreaking and exhilarating exploration into how to be successful in the 21st century, from David Epstein, the acclaimed author of The Sports Gene.",4.6,1279.0,323.0,105,Business,617.0
Man's Search for Meaning,Viktor E. Frankl,"Internationally renowned psychiatrist, Viktor E. Frankl, endured years of unspeakable horror in Nazi death camps. During, and partly because of, his suffering, Dr. Frankl developed a revolutionary approach to psychotherapy known as logotherapy. At the core of his theory is the belief that man's primary motivational force is his search for meaning. ",4.4,12997.0,468.0,96,Textbooks & Study Guides,284.0
Everything Is F*cked: A Book About Hope,Mark Manson,From the author of the international mega-best-seller The Subtle Art of Not Giving A F*ck comes a counterintuitive guide to the problems of hope. ,4.3,2390.0,10378.0,85,Personal Success,422.0
The Anarchy: The Relentless Rise of the East India Company,William Dalrymple,"Bloomsbury presents The Anarchy by William Dalrymple, read by Sid Sagar.",4.6,1375.0,1138.0,84,Colonialism & Post-Colonialism,943.0
The Alchemist (Hindi Edition),Paulo Coelho,"अंदलुशिया में रहनेवाले एक आम चरवाहे सैंतियागो की ये कहानी स्पेन से होते हुए मिस्र के रेगिस्तान जा पहुँचती है। जादुई रस-विधा, यानी ऐल्केमी, की तलाश में निकला ये युवा लड़का रास्ते में कई ज्ञानी दार्शनिकों और आध्यात्मिक गुरुओं से मिलता है। ज़िन्दगी बदल देनेवाले इस सफ़र की मंज़िल पर चरवाहे लड़के की मुलाक़ात जिस ऐल्केमिस्ट से होती है, वो न सिर्फ़ लड़के की, बल्कि हम सब की ज़िन्दगी बदल देने की काबिलियत रखता है। ",4.4,796.0,668.0,135,Personal Development,396.0
The Girl on the Train,Paula Hawkins,"Rachel catches the same commuter train every morning. She knows it will wait at the same signal each time, overlooking a row of back gardens. She's even started to feel like she knows the people who live in one of the houses. Jess and Jason, she calls them. Their life - as she sees it - is perfect. If only Rachel could be that happy. ",4.0,70122.0,888.0,98,"Crime, Thriller & Mystery (Books)",657.0
Wings of Fire,APJ Abdul Kalam,“We are all born with a divine fire in us. Our efforts should be to give wings to this fire”. President Kalam’s inspiring autobiography has touched the hearts of people all over the world. The book talks about the his humble beginnings in a small village in Tamil Nadu and his ascent to one of the most powerful positions in the country. ,4.6,70.0,75.0,80,Biographies & Autobiographies (Books),75.0
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Tim Ferriss,"The latest groundbreaking tome from Tim Ferriss, the number-one New York Times best-selling author of The 4-Hour Workweek. ",4.4,3692.0,1506.0,102,Personal Success,1361.0
A Brief History of Time: From Big Bang to Black Holes,Stephen Hawking,Brought to you by Penguin.,4.6,5391.0,888.0,87,Astronomy (Audible Audiobooks & Originals),417.0
Sapiens,Yuval Noah Harari,Fire gave us power. Farming made us hungry for more. Money gave us purpose. Science made us deadly. ,4.6,20163.0,1171.0,4,Anthropology (Books),918.0
Sapiens,Yuval Noah Harari,New York Times Best Seller  ,4.6,329.0,1171.0,72,Anthropology (Books),1302.0
Everything is Figureoutable: How One Simple Belief Can Help Us Overcome Any Obstacle and Create Unstoppable Success,Marie Forleo,Brought to you by Penguin.,4.8,1877.0,888.0,82,Personal Success,474.0
Sochiye Aur Ameer Baniye [Think and Be Rich],Napoleon Hill,"This is a Hindi translation of famous best-selling classic Think and Grow Rich. Napoleon Hill in this book defines the process by which listeners can achieve not just economic success but success in all aspects of life. He asserts that it is our mind and thoughts that shape our actions and that leads to success or failure in any venture and the author reveals the secret to its reader through this book of how we can give real shape to our dreams and aspiration through right thought, right action and right inspiration. Get a copy of this audiobook and embark on an enriching experience that will inspire and motivate you to work hard and achieve your goals.",4.5,2.0,836.0,74,Personal Development & Self-Help,670.0
"Loaded: Money, Psychology, and How to Get Ahead Without Leaving Your Values Behind",Sarah Newcomb,YOUR MOST VALUABLE ASSET...IS YOU. LOADED WILL TEACH YOU HOW TO MAKE THE MOST OF IT.  ,4.5,63.0,586.0,56,Society,414.0
1984,George Orwell,"George Orwell's nightmare vision of a dystopian world has become more apt in these modern, chaotic times. Casting a pall of oppressive dread from the very first sentence, this classic audiobook takes hold of your imagination and stays with you long after the last four words are uttered. ",4.5,17140.0,797.0,130,Literary Fiction,739.0
Good Economics for Hard Times: Better Answers to Our Biggest Problems,Abhijit Banerjee,Brought to you by Penguin. ,4.5,957.0,1093.0,77,Economic Conditions (Books),884.0
Poirot's Finest Cases: Eight Full-Cast BBC Radio Dramatisations,Agatha Christie,John Moffatt stars as the Belgian detective Hercule Poirot. ,4.8,27.0,1093.0,-1,",            5 star,          ,            ,              81%,            ,",937.0
The Girl in Room 105,Chetan Bhagat,"Hi, I'm Keshav, and my life is screwed. I hate my job and my girlfriend left me.",4.3,6643.0,568.0,79,Crime Thrillers,503.0
"Talk English: The Secret To Speak English Like A Native In 6 Months For Busy People, Learn Spoken English From The Success",Ken Xiao,"You have studied English for years, yet you still don't speak English well. You've tried many methods and you still make grammar mistakes, you still can't speak English fluently, and you still can't pronounce English words correctly. You can read English, but you feel too nervous or too shy to speak English. ",4.0,621.0,233.0,151,Language Learning & Teaching,77.0
Eat That Frog!,Brian Tracy,"There just isn't enough time for everything on our to-do list - and there never will be. Successful people don't try to do everything. They learn to focus on the most important tasks and make sure those get done. They eat their frogs. There's an old saying that if the first thing you do each morning is eat a live frog, you'll have the satisfaction of knowing you're done with the worst thing you'll have to do all day. For Tracy, eating a frog is a metaphor for tackling your most challenging task - but also the one that can have the greatest positive impact on your life. Eat That Frog! shows you how to organize each day so you can zero in on these critical tasks and accomplish them efficiently and effectively.",4.5,2094.0,351.0,57,Business Motivation & Self-Improvement,157.0
Zen: The Art of Simple Living,Shunmyo Masuno,Penguin presents the audiobook edition of Zen by Shunmyo Masuno. ,4.7,256.0,752.0,114,Stress Management,157.0
Anxious People,Fredrik Backman,Brought to you by Penguin.,4.6,22.0,888.0,100,Humour (Books),592.0
Outliers: The Story of Success,Malcolm Gladwell,"In this stunning new book, Malcolm Gladwell takes us on an intellectual journey through the world of ""outliers"" - the best and the brightest, the most famous and the most successful. He asks the question: what makes high achievers different? His answer is that we pay too much attention to what successful people are like and too little attention to where they are from: that is, their culture, their family, their generation, and the idiosyncratic experiences of their upbringing. Along the way he explains the secrets of software billionaires, what it takes to be a great soccer player, why Asians are good at math, and what made the Beatles the greatest rock band. ",4.3,4459.0,500.0,112,Business Motivation & Self-Improvement,438.0
Market Wizards: Interviews with Top Traders,Jack D. Schwager,"IMPORTANT UPDATE: This audio is the new recording by DJ Holte, which replaced the original inferior recording and also contains text that was added in the 2012 revised edition of Market Wizards. ",4.6,612.0,836.0,83,Personal Finance,881.0
365 Panchatantra Stories,Adil Mukesh,The stories of Panchatantra are ancient Indian fables that were written in Sanskrit and Pali languages. The central characters in these fascinating fables are many times animals and birds. They show their most identifying characteristics in the various stories and impart valuable life lessons and morals. ,4.2,424.0,668.0,88,Children's Traditional Stories (Books),449.0
Astrophysics for People in a Hurry,Neil deGrasse Tyson,What is the nature of space and time? How do we fit within the universe? How does the universe fit within us? There's no better guide through these mind-expanding questions than acclaimed astrophysicist and best-selling author Neil deGrasse Tyson. ,4.6,7315.0,585.0,203,Astronomy (Books),221.0
365 Tales of Indian Mythology,Om Books International,"One treat a day! A 23-volume series of 365 treats: stories, facts, questions and answers, and science experiments for young listeners.",4.4,238.0,836.0,81,Children's Traditional Stories (Books),601.0
"Romancing the Balance Sheet: For Anyone Who Owns, Runs or Manages a Business",Anil Lamba,"There is no such thing as a non-finance person. It is an error to think that finance management is limited to the Finance Department alone. In fact, it is happening right through the organization - for every action you take impacts the bottom line of your company. Listen to this book to understand what profit really means and how inventory and sales impact it. Learn to read balance sheets and deploy funds intelligently. Make the most efficient use of your working capital and discover the simple secrets of marginal costing, leverage and funds flow. Written in a simple conversational style, romancing the balance sheet will teach you all the intelligent ways of good financial management.",4.6,460.0,668.0,95,Education (Books),327.0
Yuval Noah Harari: Audible Sessions: FREE Exclusive Interview,Robin Morgan,"Professor Yuval Noah Harari is a lecturer at the Department of History at the Hebrew University of Jerusalem. Gaining his PhD from Oxford University, he has published several books and articles. His most recent works comprise the international bestseller Sapiens: A Brief History of Humankind and, most recently Homo Deus: A Brief History of Tomorrow. ",4.7,18.0,0.0,9,Biographies of Authors,19.0
The Dhandho Investor: The Low-Risk Value Method to High Returns,Mohnish Pabrai,A comprehensive value-investing framework for the individual investor.,4.3,829.0,469.0,104,Personal Development & Self-Help,304.0
The Design of Everyday Things: Revised and Expanded Edition,Don Norman,"Design doesn't have to be complicated, which is why this guide to human-centered design shows that usability is just as important as aesthetics. ",4.3,1394.0,500.0,94,Interior Design,639.0
The Story of My Experiments with Truth: An Autobiography,M. K. Gandhi,"To mark the 150th anniversary of Gandhi's birth, DK presents the audiobook of The Story of My Experiments with Truth: An Autobiography, narrated by Sagar Arya.",4.5,409.0,1093.0,154,Asian History (Books),1227.0
Who Will Cry When You Die? (Hindi): Life Lessons from the Monk Who Sold His Ferrari,Robin Sharma,"""When you were born, you cried while the world rejoiced. Live your life in such a way that when you die, the world cries while you rejoice."" (Ancient Sanskrit saying) ",4.4,217.0,668.0,133,Personal Development & Self-Help,309.0
